ID,Lat,Long,ListPrice,SaleYear,Bathroom,Bedroom,BuiltYear,BuildDecade,MajorRenov,FinishSqFt,LotSqFt,MSA,City,HighSchool,SalePrice
89889016,41.910486,-87.683632,469000,2010,2,3,2007,2000,NONE,1600,7167,Chicago,Chicago,Clemente Community Academy High School,360789.81820369564
89908088,41.910486,-87.683632,532500,2013,2,3,2006,2000,NONE,1654,8388,Chicago,Chicago,Clemente Community Academy High School,390517.02476460626
3310778,42.093799,-87.900961,291200,2014,2,0,1967,1960,NONE,1812,9147,Chicago,Mount Prospect,John Hersey High School,278968.329567159
4056229,41.731232,-87.730255,90015.91734,2014,1,1,1952,1950,NONE,744,476.06286,Chicago,Hometown,Oak Lawn Community High School,182913.52282438063
70457280,41.92603,-87.832339,236886.2787,2014,2.5,4,2005,2000,NONE,1452,3920,Chicago,River Grove,NONE,238693.53728713904
3242750,42.146866,-88.130663,454000,2013,4,3,1976,1970,NONE,2450,6098,Chicago,Barrington,Barrington High School,394962.2808787681
3243300,42.151582,-88.152751,747230.4,2014,5,5,1968,1960,NONE,4005.61455,6437.5,Chicago,Barrington Hills,Barrington High School,616831.8581450558
3244186,42.134803,-88.128673,410000,2014,3.5,2,1992,1990,NONE,1615,6729.5,Chicago,Barrington,Barrington High School,354858.8802825804
3242373,42.147205,-88.137347,399000,2013,2,4,1956,1950,NONE,1730,11325,Chicago,Barrington,Barrington High School,347897.8954146172
3244270,42.127997,-88.13131,747230.4,2008,4,4,1996,1990,NONE,4005.61455,15472.04295,Chicago,Inverness,Barrington High School,621707.9457351825
3244761,42.104041,-88.17255,747230.4,2014,3.5,4,1991,1990,NONE,2940,15472.04295,Chicago,South Barrington,Barrington High School,617572.7508170492
3245629,42.094583,-88.128152,324900,2014,2.5,4,1976,1970,NONE,2628,9933.5,Chicago,Hoffman Estates,Barrington High School,308824.20613089687
3244342,42.118286,-88.122847,568000,2013,4,4,1979,1970,2003,3169,15472.04295,Chicago,Inverness,Barrington High School,553606.210299146
3242718,42.149553,-88.129187,299000,2014,1,3,1921,1920,NONE,816,7501,Chicago,Barrington,Barrington High School,255428.56370226786
3248466,42.150893,-88.007541,249000,2014,2,3,1987,1980,NONE,1063,8855,Chicago,Arlington Heights,Palatine High School,223283.77647312183
3247121,42.151657,-88.017463,115000,2013,1,2,1984,1980,NONE,1150,5608,Chicago,Palatine,Palatine High School,182269.288963941
3246853,42.152423,-88.019691,113900,2013,1,2,1983,1980,NONE,1036,5531.5,Chicago,Palatine,Palatine High School,182269.288963941
3247692,42.148209,-88.01667,199000,2014,3,3,1987,1980,NONE,2450,7361,Chicago,Palatine,Palatine High School,245047.04205221627
3244289,42.117857,-88.139126,747230.4,2014,4,5,1989,1980,NONE,4005.61455,14243.5,Chicago,Inverness,Barrington High School,615059.8019019394
3246965,42.152423,-88.019691,99500,2014,1,2,1983,1980,NONE,966.5,6155.5,Chicago,Palatine,Palatine High School,182269.288963941
3252735,42.130819,-88.081644,499900,2014,3,4,1989,1980,NONE,3205,9243,Chicago,Palatine,Palatine High School,432253.38653309585
3254535,42.13649,-88.030876,229900,2014,2.5,3,1996,1990,NONE,2015.5,7535,Chicago,Palatine,Palatine High School,234304.152754506
3251498,42.135583,-88.113835,747230.4,2009,4,4,1986,1980,2002,4005.61455,15472.04295,Chicago,Inverness,Barrington High School,620244.231245409
3250586,42.149854,-88.054713,454900,2013,3,4,1973,1970,NONE,2802,15472.04295,Chicago,Palatine,Palatine High School,414254.03352260793
3255445,42.131697,-88.032603,264000,2013,3,3,1979,1970,NONE,1432,8775,Chicago,Palatine,Palatine High School,250465.47340663394
3258787,42.118219,-88.041813,285000,2014,2.5,3,1962,1960,NONE,1325,6751.5,Chicago,Palatine,Palatine High School,261088.98926926512
3261705,42.118311,-88.10031,355000,2014,3,4,1963,1960,NONE,2611.5,9867.5,Chicago,Inverness,Wm Fremd High School,348601.3879355404
3251784,42.132526,-88.084863,350000,2014,2,3,1989,1980,NONE,1908,9147,Chicago,Palatine,Palatine High School,321087.10941059596
3255388,42.124928,-88.026337,349900,2014,2.5,4,1969,1960,NONE,2486,12240,Chicago,Palatine,Palatine High School,356656.6328965024
3250423,42.141736,-88.02903,229000,2014,2,3,1960,1960,NONE,1344,15472.04295,Chicago,Palatine,Palatine High School,221867.26080919817
3264407,42.099527,-88.119364,330000,2013,2.5,4,1978,1970,NONE,2083,10890,Chicago,Hoffman Estates,Wm Fremd High School,330614.8559737589
3266581,42.103516,-88.059303,299999,2014,2,4,1953,1950,NONE,1488,15472.04295,Chicago,Palatine,Wm Fremd High School,268189.9085894003
3266729,42.108308,-88.053061,485900,2013,4,5,1977,1970,NONE,3048,10890,Chicago,Palatine,Wm Fremd High School,432412.23615993396
3269389,42.104701,-88.019828,124900,2014,2,2,1980,1980,NONE,1150,6294,Chicago,Palatine,Palatine High School,186467.55376396506
3270145,42.085471,-88.017669,194900,2014,1,3,1954,1950,2012,1365,10798,Chicago,Rolling Meadows,Rolling Meadows High School,199549.58889516053
3270410,42.086913,-88.024152,185900,2013,1,3,1955,1950,NONE,1113,10018,Chicago,Rolling Meadows,Rolling Meadows High School,194237.88411466114
3270555,42.08348,-88.008698,229900,2013,2,3,1955,1950,NONE,1650,6298.5,Chicago,Rolling Meadows,Rolling Meadows High School,223139.54828265257
3258536,42.115867,-88.005879,299000,2014,3,3,1959,1950,NONE,2142.5,8424,Chicago,Palatine,Palatine High School,272715.47709142807
3259898,42.114216,-88.032114,289900,2014,2,3,1955,1950,NONE,1649,11761,Chicago,Palatine,Palatine High School,263909.12063705723
3277882,42.078434,-88.014313,209000,2012,1,3,1955,1950,NONE,1437,10998,Chicago,Rolling Meadows,Rolling Meadows High School,215064.67873851233
3280755,42.148735,-87.944633,149700,2012,2,3,1980,1980,NONE,2177.5,6148,Chicago,Wheeling,Buffalo Grove High School,200496.89332594798
3280978,42.151463,-87.935491,350000,2014,3,4,1993,1990,NONE,2632,11325,Chicago,Wheeling,Buffalo Grove High School,350139.2767155204
3252433,42.13499,-88.068929,162500,2014,1,2,1985,1980,2010,1155,1179,Chicago,Palatine,Palatine High School,185523.30971460114
3253459,42.138571,-88.051619,279900,2014,4,3,1994,1990,NONE,1676,7448,Chicago,Palatine,Palatine High School,266477.53098341444
3254004,42.135355,-88.037056,289000,2012,3,4,1971,1970,NONE,1318,10040,Chicago,Palatine,Palatine High School,271063.20765096287
3259885,42.11589,-88.032709,219900,2013,2,3,1975,1970,NONE,2000,9583,Chicago,Palatine,Palatine High School,228912.54285670075
3254592,42.135305,-88.027443,529000,2013,2,5,1999,1990,NONE,3055,9147,Chicago,Palatine,Palatine High School,441731.59917369665
3255245,42.127636,-88.027305,419000,2014,4,5,1965,1960,NONE,2844,10540,Chicago,Palatine,Palatine High School,393606.8511299672
3265487,42.107633,-88.073288,699000,2014,3,5,2005,2000,NONE,4005.61455,13795,Chicago,Palatine,Wm Fremd High School,613305.5602184043
3265957,42.10049,-88.076631,559900,2014,3,5,1977,1970,NONE,3033,15246,Chicago,Palatine,Wm Fremd High School,550037.1732885537
3267489,42.103818,-88.053059,339900,2014,2,3,1972,1970,2007,1750,8568,Chicago,Palatine,Wm Fremd High School,321389.7347183766
3270143,42.085774,-88.017515,195000,2013,2,2,1955,1950,NONE,1281,6316,Chicago,Rolling Meadows,Rolling Meadows High School,201369.95887854535
3265490,42.107121,-88.073979,499000,2014,3,5,1973,1970,NONE,3424.61475,15097,Chicago,Palatine,Wm Fremd High School,444603.04339892656
3268859,42.108173,-88.017013,178000,2015,1.5,2,NA,UNKNOWN,NONE,1064,5185.5,Chicago,Palatine,Palatine High School,191739.3961555106
3269227,42.105637,-88.023476,116900,2014,2,3,1969,1960,NONE,1600,6511.5,Chicago,Palatine,Palatine High School,188964.63863152583
3272270,42.090965,-88.056,315000,2014,4,3,1989,1980,NONE,3244,10577.5,Chicago,Palatine,Wm Fremd High School,316444.27246019675
3272278,42.090965,-88.055999,175000,2013,2,2,1989,1980,NONE,1440,6266,Chicago,Palatine,Wm Fremd High School,199403.6419642798
3272521,42.090965,-88.055999,175000,2013,2.5,2,1991,1990,NONE,1643.5,5799.5,Chicago,Palatine,Wm Fremd High School,202168.80564050458
3285470,42.142892,-87.981958,370000,2014,3,4,1969,1960,NONE,2336,7187,Chicago,Buffalo Grove,Buffalo Grove High School,351942.6448503289
3257548,42.123916,-88.01308,290000,2014,2.5,4,1966,1960,NONE,1864,7309.5,Chicago,Palatine,Palatine High School,282216.0960720125
3260634,42.112092,-88.056709,385000,2014,3,3,1995,1990,NONE,2056,8951.5,Chicago,Palatine,Wm Fremd High School,355404.68686633185
3261383,42.114933,-88.075417,474900,2014,4,3,1985,1980,NONE,2766,9373.5,Chicago,Inverness,Wm Fremd High School,408092.2253328394
3261620,42.11615,-88.069679,649000,2013,3.5,5,1997,1990,2009,4005.61455,11325,Chicago,Palatine,Wm Fremd High School,606473.5836041418
3274881,42.092467,-88.117955,529900,2014,2.5,4,1978,1970,NONE,3500,15472.04295,Chicago,Hoffman Estates,Wm Fremd High School,449928.02616054704
3273176,42.08272,-88.04773,254900,2013,4,4,1980,1980,NONE,1880,7840.5,Chicago,Rolling Meadows,Wm Fremd High School,256160.65146245138
3264847,42.102277,-88.108179,349800,2013,3,3,1978,1970,NONE,1343,13068,Chicago,Hoffman Estates,Wm Fremd High School,327743.8080861584
3265436,42.106649,-88.079402,747230.4,2014,4,5,1980,1980,NONE,4000,15472.04295,Chicago,Inverness,Wm Fremd High School,615059.8019019394
3273127,42.082054,-88.046501,229900,2014,2.5,3,1978,1970,NONE,1849,2492,Chicago,Rolling Meadows,Wm Fremd High School,230693.6534463078
3274894,42.093913,-88.118588,385000,2012,2.5,4,1980,1980,NONE,2634,8319,Chicago,Hoffman Estates,Wm Fremd High School,360309.72884087585
3299435,42.113002,-87.95256,205000,2014,2,2,1987,1980,NONE,1376,7405,Chicago,Arlington Heights,Wheeling High School,220784.94898949933
3299720,42.118759,-87.982633,424900,2014,2.5,4,1972,1970,NONE,1950,8712,Chicago,Arlington Heights,Buffalo Grove High School,361141.5448188895
3285586,42.14597,-87.980508,359900,2014,2.5,4,1967,1960,NONE,2311,9302,Chicago,Buffalo Grove,Buffalo Grove High School,348032.74385910196
3286289,42.14286,-87.9679,285000,2013,2,3,1970,1970,NONE,1440,7492,Chicago,Buffalo Grove,Buffalo Grove High School,254868.09330116026
3286496,42.151388,-88.00387,149000,2014,2,2,1988,1980,NONE,1433.5,7622.5,Chicago,Arlington Heights,Buffalo Grove High School,190842.39579659898
3290157,42.136589,-87.972473,138900,2009,2,2,1975,1970,NONE,1208,7622.5,Chicago,Arlington Heights,Buffalo Grove High School,188129.0762543707
3268053,42.105875,-88.042857,245000,2014,1,2,1926,1920,NONE,1300,8219,Chicago,Palatine,Wm Fremd High School,220497.31618599486
3269734,42.1064,-88.005219,239000,2014,2,3,NA,UNKNOWN,NONE,1675.5,7054,Chicago,Palatine,Palatine High School,226250.3215268498
3285207,42.146097,-87.974283,259999,2010,2,3,1964,1960,NONE,1576,8712,Chicago,Buffalo Grove,Buffalo Grove High School,236467.94756176072
3289601,42.136413,-87.968147,174900,2014,2,3,1986,1980,NONE,1200,7187,Chicago,Buffalo Grove,Buffalo Grove High School,196187.37893304325
3304585,42.098828,-87.971164,275000,2014,2,3,1954,1950,2007,1047,5052.5,Chicago,Arlington Heights,John Hersey High School,257661.18156939626
3305735,42.105972,-87.955836,597500,2014,3,4,1986,1980,2014,2700,7279,Chicago,Arlington Heights,John Hersey High School,572032.4502702686
3307589,42.100795,-87.921858,5.00E+05,2013,3,4,1987,1980,NONE,2386,15472.04295,Chicago,Prospect Heights,Wheeling High School,424740.7402784063
3310215,42.100992,-87.895287,359000,2014,3,4,1968,1960,NONE,2294,8929.5,Chicago,Mount Prospect,Wheeling High School,336612.9466959129
3303454,42.098545,-87.989316,265000,2014,1,3,1957,1950,NONE,1128,7919,Chicago,Arlington Heights,John Hersey High School,229053.41973050014
3297242,42.112728,-87.931007,77900,2014,2,2,1978,1970,NONE,1200,6098,Chicago,Wheeling,Wheeling High School,186467.55376396506
3284029,42.142398,-87.964946,324900,2014,3,4,1967,1960,NONE,1675,5118,Chicago,Buffalo Grove,Buffalo Grove High School,296307.5600740426
3311000,42.092827,-87.896281,288900,2013,2.5,4,1962,1960,NONE,2600,11107.5,Chicago,Mount Prospect,John Hersey High School,291234.5794138739
3311260,42.086898,-87.904694,329900,2013,2.5,4,1972,1970,NONE,0,10512,Chicago,Mount Prospect,John Hersey High School,328093.59650609555
3289682,42.135474,-87.974643,269500,2013,2.5,3,1971,1970,NONE,1676,8642,Chicago,Buffalo Grove,Buffalo Grove High School,239629.6575358567
3291585,42.136604,-87.955337,115000,2014,2,2,1971,1970,NONE,1150,5428.5,Chicago,Buffalo Grove,Wheeling High School,186467.55376396506
3292933,42.127801,-87.954264,139750,2013,2,3,1974,1970,NONE,1408,1306,Chicago,Wheeling,Wheeling High School,189683.81679520156
3320352,42.078711,-87.996682,3.00E+05,2015,2,2,1959,1950,NONE,1100,5880,Chicago,Arlington Heights,Rolling Meadows High School,261965.14507927507
3320604,42.074524,-87.99903,449900,2014,2,3,1969,1960,NONE,2244,10735,Chicago,Arlington Heights,Rolling Meadows High School,366207.3563354967
3297421,42.111172,-87.929596,99900,2014,2,2,1975,1970,NONE,1517,6388,Chicago,Wheeling,Wheeling High School,189683.81679520156
3300694,42.114257,-87.973411,379000,2014,2,3,1967,1960,NONE,1779,9675,Chicago,Arlington Heights,Buffalo Grove High School,331704.85288185085
3301730,42.117056,-87.995928,299900,2013,2,3,1967,1960,NONE,1150,8750,Chicago,Arlington Heights,Buffalo Grove High School,265765.66777285415
3302132,42.112447,-87.989207,524900,2013,3.5,4,1987,1980,2009,2700,10875,Chicago,Arlington Heights,Buffalo Grove High School,449168.4307002359
3272078,42.095543,-88.05692,524800,2013,2.5,4,1980,1980,NONE,2998,15472.04295,Chicago,Palatine,Wm Fremd High School,457049.7246462171
3274745,42.091448,-88.114357,489900,2014,3,4,1978,1970,NONE,2826,13068,Chicago,Hoffman Estates,Wm Fremd High School,419305.5312613039
3312167,42.093683,-87.9176,159900,2014,2,2,1985,1980,NONE,1307,4464.5,Chicago,Prospect Heights,John Hersey High School,191669.38334433184
3316758,42.091048,-87.984971,350000,2014,2,4,1916,1910,NONE,2303,6250,Chicago,Arlington Heights,John Hersey High School,346516.00426919403
3305139,42.108062,-87.962821,334900,2014,2.5,3,1983,1980,NONE,2150,9400.5,Chicago,Arlington Heights,John Hersey High School,325682.94935392693
3275896,42.076683,-88.057365,99900,2014,2,2,1983,1980,NONE,1100,4878,Chicago,Schaumburg,Wm Fremd High School,186467.55376396506
3277382,42.080615,-88.023688,229900,2013,2,3,1956,1950,NONE,1774.5,6299,Chicago,Rolling Meadows,Rolling Meadows High School,228136.94905090422
3279976,42.140548,-87.911102,89500,2014,1,2,1968,1960,NONE,1040,5967.5,Chicago,Wheeling,Wheeling High School,183931.838888829
3308596,42.105995,-87.901962,75000,2013,1,2,NA,UNKNOWN,NONE,1059,6773.5,Chicago,Prospect Heights,Wheeling High School,184401.29907499612
3309253,42.103202,-87.890296,58000,2014,1,1,1970,1970,NONE,900,7622.5,Chicago,Prospect Heights,Wheeling High School,184651.01705250467
3311467,42.08486,-87.905801,409000,2013,2.5,4,1988,1980,NONE,2704,10572,Chicago,Mount Prospect,John Hersey High School,380427.92686703434
3321958,42.080414,-87.983498,156900,2014,2,2,1966,1960,NONE,1400,7187,Chicago,Arlington Heights,Rolling Meadows High School,190123.21763292325
3303996,42.109072,-87.983822,399900,2014,3,4,1972,1970,NONE,2124,8803,Chicago,Arlington Heights,John Hersey High School,364750.0772165011
3306630,42.108052,-87.938714,349900,2014,2,3,NA,UNKNOWN,NONE,1568,7095.5,Chicago,Prospect Heights,John Hersey High School,324865.70042221935
3313778,42.08839,-87.940689,240000,2014,3,3,1976,1970,NONE,1900,7557.5,Chicago,Mount Prospect,John Hersey High School,240247.84737172298
3307050,42.096723,-87.94568,338500,2010,2,3,1937,1930,2009,1643.5,9517,Chicago,Prospect Heights,John Hersey High School,322747.6169777331
3311950,42.091468,-87.920672,270000,2014,2,3,1984,1980,NONE,1433,6359.5,Chicago,Prospect Heights,John Hersey High School,257249.82138972395
3316484,42.094971,-87.981324,282000,2014,1,3,1955,1950,NONE,1253,7405,Chicago,Arlington Heights,John Hersey High School,253028.99751051512
3318827,42.092044,-87.993476,179900,2011,5,4,2015,2010,NONE,3000,6599,Chicago,Arlington Heights,John Hersey High School,265668.8259219044
3320080,42.081207,-87.989866,499900,2014,2.5,4,1948,1940,NONE,2342,6294,Chicago,Arlington Heights,Rolling Meadows High School,431656.0291709836
3320520,42.076007,-88.003243,299900,2012,3,4,1963,1960,NONE,2000,8764,Chicago,Arlington Heights,Rolling Meadows High School,278164.94896395475
3323085,42.074974,-87.967514,115000,2014,2,2,NA,UNKNOWN,NONE,1484.5,6969,Chicago,Arlington Heights,Prospect High School,189434.09881769298
3324198,42.076698,-87.961537,519000,2014,3,3,1957,1950,NONE,2189,8000,Chicago,Arlington Heights,Prospect High School,402199.5240843913
3325202,42.068351,-87.950576,164900,2013,1,2,1994,1990,NONE,1000,5662.5,Chicago,Mount Prospect,Prospect High School,183427.8679653384
3320023,42.083129,-87.988588,299900,2014,2,4,1953,1950,NONE,1500,13068,Chicago,Arlington Heights,Rolling Meadows High School,268189.9085894003
3321616,42.069468,-87.988283,329900,2014,1,3,1948,1940,2012,1186,6600,Chicago,Arlington Heights,Rolling Meadows High School,315114.4655687015
3322650,42.077142,-87.966637,149900,2013,2,3,1954,1950,NONE,1136,5861,Chicago,Arlington Heights,Prospect High School,187376.4147878539
3280924,42.14811,-87.935511,319900,2014,2,3,1993,1990,NONE,1597,7383,Chicago,Wheeling,Buffalo Grove High School,286370.8806296119
3286284,42.142012,-87.967912,275000,2014,2,4,1969,1960,NONE,1780.5,2831,Chicago,Buffalo Grove,Buffalo Grove High School,267590.7313857976
3295198,42.133052,-87.913669,179900,2014,2,3,1956,1950,NONE,1137,5580,Chicago,Wheeling,Wheeling High School,198319.38904409838
3300458,42.111729,-87.983864,380000,2014,3,3,1991,1990,NONE,2000,7502.5,Chicago,Arlington Heights,Buffalo Grove High School,355529.3862357758
3329076,42.151714,-87.807663,415000,2014,2,2,1979,1970,NONE,2500,8058,Chicago,Northbrook,NONE,368681.06252543733
3331282,42.140752,-87.876438,529900,2013,2.5,4,1969,1960,NONE,3018,15472.04295,Chicago,Northbrook,NONE,461788.52729262464
3332070,42.126275,-87.88377,675000,2015,2,5,1980,1980,NONE,3295,9147,Chicago,Northbrook,NONE,577579.5445320589
3302755,42.105512,-87.993386,679000,2012,2,4,2005,2000,NONE,3713,10626.5,Chicago,Arlington Heights,John Hersey High School,576982.7136734333
3303435,42.100185,-87.985671,267500,2013,2,3,1959,1950,NONE,1380,10890,Chicago,Arlington Heights,John Hersey High School,235195.66008830632
3303915,42.106228,-87.976634,425000,2014,3,4,1967,1960,NONE,2179,7818.5,Chicago,Arlington Heights,John Hersey High School,375779.6298749681
3332738,42.135688,-87.854782,139000,2014,2,2,1978,1970,NONE,1390,6849.5,Chicago,Northbrook,NONE,192065.54488376528
3333495,42.129032,-87.861763,489900,2014,2.5,3,1977,1970,NONE,2200,8711.5,Chicago,Northbrook,NONE,391881.4988576834
3337155,42.126665,-87.818818,538000,2014,2,3,1963,1960,NONE,1866,10236.5,Chicago,Northbrook,NONE,404083.19728417206
3317509,42.085152,-87.983749,249900,2014,2,2,1996,1990,NONE,1350,6599,Chicago,Arlington Heights,John Hersey High School,226500.03950435837
3317812,42.087236,-87.974767,369900,2014,2,3,1957,1950,2009,1200,5357.5,Chicago,Arlington Heights,Prospect High School,325949.16354665736
3322321,42.076037,-87.976562,469000,2014,1.5,3,1938,1930,NONE,1889,5424,Chicago,Arlington Heights,Prospect High School,362068.78086388804
3322473,42.07457,-87.978477,495000,2014,3,4,1930,1930,NONE,1758,7883.5,Chicago,Arlington Heights,Prospect High School,395025.5616057226
3324563,42.07855,-87.955886,249900,2013,1.5,2,1958,1950,NONE,1264,8712,Chicago,Arlington Heights,Prospect High School,220497.31618599486
3327532,42.067833,-87.926742,285900,2014,2,3,1957,1950,NONE,1260,6751.5,Chicago,Mount Prospect,Prospect High School,257227.2623105392
3327817,42.066377,-87.909542,280000,2014,3,3,1966,1960,NONE,1637,8389,Chicago,Mount Prospect,John Hersey High School,269591.2839779397
3328935,42.14333,-87.770422,519000,2008,2,3,1953,1950,NONE,1900,10454,Chicago,Glencoe,New Trier Township H S Winnetka,406132.74270100764
3305373,42.107501,-87.956865,349900,2014,2.5,3,1968,1960,NONE,2070,8750,Chicago,Arlington Heights,John Hersey High School,333431.7205637682
3331742,42.131546,-87.877281,747230.4,2014,5.5,5,1998,1990,NONE,4005.61455,15472.04295,Chicago,Northbrook,NONE,624140.0172440074
3334767,42.137187,-87.834612,747230.4,2013,4,5,1960,1960,NONE,1,15472.04295,Chicago,Northbrook,NONE,577534.9424013746
3339226,42.117549,-87.831527,279400,2013,2,2,NA,UNKNOWN,NONE,1450,6751.5,Chicago,Northbrook,NONE,261163.73093993374
3340386,42.119134,-87.85393,549000,2013,3,4,1965,1960,NONE,2496,10890,Chicago,Northbrook,NONE,552429.2803119385
3340555,42.121353,-87.857082,499500,2013,2,4,1970,1970,NONE,2473,11787.5,Chicago,Northbrook,NONE,427810.54270476877
3342847,42.098697,-87.865755,747230.4,2013,3.5,5,1984,1980,NONE,3540,15472.04295,Chicago,Glenview,NONE,623108.4526853163
3348794,42.093154,-87.84516,525000,2014,3.5,3,1996,1990,NONE,2711,9082,Chicago,Glenview,NONE,443096.5067307292
3352351,42.077335,-87.842188,559000,2013,2.5,4,1976,1970,NONE,2173,10360,Chicago,Glenview,NONE,518216.51603747427
3327465,42.071472,-87.918297,64900,2014,1,1,1969,1960,NONE,750,4530,Chicago,Mount Prospect,John Hersey High School,183931.838888829
3327548,42.067824,-87.925316,204900,2013,1.5,3,1962,1960,NONE,1360,7059,Chicago,Mount Prospect,Prospect High School,216336.96621196673
3310103,42.101578,-87.896705,379000,2014,3,5,1969,1960,NONE,2718,9295,Chicago,Mount Prospect,Wheeling High School,364411.2875803018
3338707,42.12001,-87.815891,747230.4,2015,3.5,5,1994,1990,NONE,3600,13960.5,Chicago,Northbrook,NONE,623108.4526853163
3317649,42.083454,-87.979637,129900,2014,1,1,1986,1980,NONE,1000,6350,Chicago,Arlington Heights,Prospect High School,182269.288963941
3344226,42.103828,-87.832107,499900,2014,2.5,3,1990,1990,NONE,2052.5,8123.5,Chicago,Glenview,NONE,405727.13588890777
3345336,42.098953,-87.793287,747230.4,2013,2,4,1984,1980,NONE,3285,15083.97844,Chicago,Northfield,New Trier Township H S Winnetka,598286.1280397339
3345615,42.105847,-87.775817,747230.4,2014,4.5,4,2005,2000,NONE,3912,12656,Chicago,Northfield,New Trier Township H S Winnetka,629675.4461602814
3345980,42.101196,-87.780177,209000,2013,1,2,NA,UNKNOWN,NONE,1550,8704,Chicago,Northfield,New Trier Township H S Winnetka,218718.69430053036
3353687,42.073593,-87.829563,679000,2014,2,4,1964,1960,NONE,2162,7600.5,Chicago,Glenview,NONE,529626.979874819
3354785,42.076504,-87.805199,209000,2014,2,2,1996,1990,NONE,1133,5428.5,Chicago,Glenview,NONE,219950.41404682642
3356457,42.079638,-87.788654,480000,2014,2,3,1961,1960,NONE,1560,9215,Chicago,Glenview,NONE,366477.2664682482
3329650,42.150852,-87.80986,359900,2014,3,3,1982,1980,NONE,2179,10245.5,Chicago,Northbrook,NONE,333490.3325819994
3345347,42.101088,-87.791065,747230.4,2013,4,4,1958,1950,NONE,4005.61455,15357.95688,Chicago,Northfield,New Trier Township H S Winnetka,628827.6577787062
3335742,42.137853,-87.819838,309000,2014,2,4,1956,1950,NONE,1589,8160,Chicago,Northbrook,NONE,297156.7172193321
3336779,42.126682,-87.822077,529000,2014,2,4,1954,1950,NONE,2234,11292.5,Chicago,Northbrook,NONE,408684.7313221018
